# id	label	kitty_file	starship_palette	nvim_scheme	nvim_flavour	btop_theme	bat_theme	lofi_theme	opencode_theme	bg	fg	surface	border	dim	accent	warn	success	error	yabai_active	yabai_normal	yabai_insert
catppuccin-mocha	Catppuccin Mocha	current-theme.conf	catppuccin_mocha	catppuccin-mocha	mocha	catppuccin_mocha	Catppuccin Mocha	catppuccin-mocha	dotfiles-catppuccin-mocha	#1e1e2e	#cdd6f4	#313244	#45475a	#6c7086	#cba6f7	#f9e2af	#a6e3a1	#f38ba8	0xffcba6f7	0xff45475a	0xfff38ba8
catppuccin-latte	Catppuccin Latte	themes/catppuccin-latte.conf	catppuccin_latte	catppuccin-latte	latte	catppuccin_latte	Catppuccin Latte	catppuccin-latte	dotfiles-catppuccin-latte	#eff1f5	#4c4f69	#ccd0da	#bcc0cc	#8c8fa1	#8839ef	#df8e1d	#40a02b	#d20f39	0xff8839ef	0xffbcc0cc	0xffd20f39
gruvbox-dark	Gruvbox Dark	themes/gruvbox.conf	gruvbox_dark	gruvbox	-	gruvbox_dark	gruvbox-dark	gruvbox-dark	dotfiles-gruvbox-dark	#282828	#ebdbb2	#3c3836	#504945	#7c6f64	#d3869b	#d79921	#98971a	#cc241d	0xffd3869b	0xff504945	0xffcc241d
gruvbox-light	Gruvbox Light	themes/gruvbox-light.conf	gruvbox_light	gruvbox	-	gruvbox_light	gruvbox-light	paper	dotfiles-gruvbox-light	#fbf1c7	#3c3836	#ebdbb2	#d5c4a1	#928374	#b16286	#d79921	#98971a	#cc241d	0xffb16286	0xffd5c4a1	0xffcc241d
kanagawa	Kanagawa	themes/kanagawa.conf	kanagawa	kanagawa	-	kanagawa	Monokai Extended	rose-pine	dotfiles-kanagawa	#1f1f28	#dcd7ba	#2a2a37	#414156	#72727f	#957fb8	#e6c384	#76946a	#c34043	0xff957fb8	0xff414156	0xffc34043
solarized-light	Solarized Light	themes/solarized-light.conf	solarized_light	solarized	-	solarized_light	Solarized (light)	solarized-light	dotfiles-solarized-light	#fdf6e3	#657b83	#eee8d5	#93a1a1	#839496	#268bd2	#b58900	#859900	#dc322f	0xff268bd2	0xff93a1a1	0xffdc322f
